id,ouvrage_id,unite_id,prix_unitaire,cree_le,mis_a_jour_le,_synced,metier_id,entreprise_id,nom
9b5667a7-edfc-4c24-a63c-d0615b96c4d8,9b5667a7-edfc-4c24-a63c-d0615b96c4d8,61baec7f-f87c-4854-8580-36fa0b0b56f1,145000,2026-05-30 20:52:08.896+00,2026-05-30 20:52:08.896+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,P1B
caa5b120-3c65-4323-aeff-3d73c9808941,caa5b120-3c65-4323-aeff-3d73c9808941,61baec7f-f87c-4854-8580-36fa0b0b56f1,165000,2026-05-30 20:52:21.517+00,2026-05-30 20:52:21.517+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,P2B
fdff7ed0-c0c1-4712-94c9-953f9dc8dee3,fdff7ed0-c0c1-4712-94c9-953f9dc8dee3,61baec7f-f87c-4854-8580-36fa0b0b56f1,95000,2026-05-30 20:52:35.486+00,2026-05-30 20:52:35.486+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,PC
c5364596-0284-4b80-bd42-c88f3d58f692,c5364596-0284-4b80-bd42-c88f3d58f692,61baec7f-f87c-4854-8580-36fa0b0b56f1,95000,2026-05-30 20:52:48.723+00,2026-05-30 20:52:48.723+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,FC
226ec540-c5f6-41b6-a449-8ef5c365f306,226ec540-c5f6-41b6-a449-8ef5c365f306,61baec7f-f87c-4854-8580-36fa0b0b56f1,145000,2026-05-30 20:53:10.088+00,2026-05-30 20:53:10.088+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,F1B
133953fe-56b3-49c1-a0ed-13918aeaa1a6,133953fe-56b3-49c1-a0ed-13918aeaa1a6,61baec7f-f87c-4854-8580-36fa0b0b56f1,165000,2026-05-30 20:53:21.404+00,2026-05-30 20:53:21.404+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,F2B
4f786400-7aff-45f5-9912-43ad489a3f91,4f786400-7aff-45f5-9912-43ad489a3f91,61baec7f-f87c-4854-8580-36fa0b0b56f1,125000,2026-05-30 20:53:33.446+00,2026-06-02 10:53:21.821+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,MR
2fa8c066-b122-4b57-9d0e-f2f464bbfc1d,2fa8c066-b122-4b57-9d0e-f2f464bbfc1d,61baec7f-f87c-4854-8580-36fa0b0b56f1,90000,2026-05-30 20:53:42.993+00,2026-06-07 08:04:22.069+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Cloison simple parois
d2ea0954-12c5-4dc5-94c5-2dbb4d5e1aaf,d2ea0954-12c5-4dc5-94c5-2dbb4d5e1aaf,61baec7f-f87c-4854-8580-36fa0b0b56f1,105000,2026-06-02 11:03:23.327+00,2026-06-07 08:04:04.696+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Cloison double parois
72c8d14a-8c9b-46e7-bb66-bff1701cd3bd,72c8d14a-8c9b-46e7-bb66-bff1701cd3bd,61baec7f-f87c-4854-8580-36fa0b0b56f1,65000,2026-05-30 20:54:07.791+00,2026-05-30 20:54:07.791+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Fixe
d845ba1b-711a-416c-83d3-17191efcb16a,d845ba1b-711a-416c-83d3-17191efcb16a,5d4b36c7-f793-4457-8aca-722e852080f7,12500,2026-05-30 20:54:55.371+00,2026-06-02 10:55:39.838+00,1,5492a224-c4ef-49b4-a92c-4fbc2aff565e,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Carreaux 60x60
bdc62f09-7c8b-4502-8dd5-3fa60f944674,bdc62f09-7c8b-4502-8dd5-3fa60f944674,5d4b36c7-f793-4457-8aca-722e852080f7,9000,2026-05-30 20:57:15.282+00,2026-06-02 10:55:45.8+00,1,5492a224-c4ef-49b4-a92c-4fbc2aff565e,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Carreaux 30x30
